"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_10.csv",,,,"Date:","08 Feb 2016 21:57:19 BRST"

"net/total",
"recv","send"
0.0,0.0
322.0,332.0
134.0,166.0
2457.0,1765.0
134.0,166.0
568610.0,15564.0
100717032.0,962876.0
123081092.0,1161326.0
88905425.0,798716.0
258953.0,8020.0
9359606.0,88509.0
122517530.0,1173436.0
123372548.0,1191146.0
121804899.0,1129588.0
121689421.0,1126211.0
63496994.0,575112.0
1834.0,1982.0
37149476.0,358388.0
27719292.0,267814.0
31409880.0,303014.0
123270842.0,1213476.0
110832960.0,1012506.0
554.0,2084.0
286196.0,9280.0
38130366.0,359806.0
198.0,166.0
198.0,166.0
433.0,166.0
740.0,166.0
134.0,166.0
134.0,166.0
134.0,166.0
134.0,166.0
2457.0,1695.0
134.0,166.0
2290.0,486.0
740.0,166.0
