"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_5.csv",,,,"Date:","08 Feb 2016 22:01:18 BRST"

"net/total",
"recv","send"
0.0,0.0
134.0,214.0
134.0,166.0
2275.0,486.0
134.0,166.0
3691.0,2372.0
134.0,166.0
572755.0,14729.0
123080068.0,1186526.0
123175278.0,1158924.0
66440823.0,632853.0
134.0,166.0
23887101.0,227624.0
115126129.0,1070783.0
123375014.0,1133256.0
122240330.0,1130929.0
122000611.0,1109061.0
55870632.0,489550.0
134.0,166.0
134.0,166.0
134.0,166.0
134.0,166.0
