"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_8.csv",,,,"Date:","08 Feb 2016 21:59:21 BRST"

"net/total",
"recv","send"
0.0,0.0
2645.0,1861.0
134.0,166.0
1991.0,556.0
134.0,166.0
134.0,166.0
565519.0,15056.0
121438756.0,1150336.0
123374274.0,1172316.0
67891553.0,645522.0
554.0,2105.0
568220.0,16935.0
109044216.0,1018806.0
123043142.0,1159436.0
120536564.0,1072759.0
123373398.0,1090064.0
54606069.0,513293.0
31328882.0,295250.0
31287858.0,301358.0
33581340.0,312348.0
65560061.0,619677.0
80186164.0,749085.0
344.0,1124.0
134.0,166.0
134.0,166.0
262.0,166.0
