"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_6.csv",,,,"Date:","08 Feb 2016 22:00:42 BRST"

"net/total",
"recv","send"
0.0,0.0
698.0,568.0
134.0,166.0
134.0,166.0
198.0,166.0
564135.0,14964.0
104953276.0,973166.0
116171156.0,1078866.0
91581659.0,847785.0
5348.0,3899.0
30941990.0,299987.0
123167688.0,1143104.0
122768153.0,1135186.0
122337482.0,1127849.0
112674089.0,1018809.0
50610622.0,460242.0
282819.0,7611.0
30778122.0,291138.0
342.0,166.0
134.0,166.0
2457.0,1765.0
