"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_9.csv",,,,"Date:","08 Feb 2016 21:58:46 BRST"

"net/total",
"recv","send"
0.0,0.0
4700.0,2039.0
134.0,166.0
134.0,166.0
430716.0,14216.0
77412738.0,745456.0
123373353.0,1183855.0
112056233.0,1051566.0
2411.0,2495.0
57429859.0,516606.0
123144918.0,1192244.0
123374136.0,1194624.0
122383970.0,1143389.0
104554396.0,969384.0
31612072.0,302139.0
35111102.0,318016.0
29761479.0,277813.0
36865432.0,347976.0
115034174.0,1092516.0
113624704.0,1076363.0
554.0,2084.0
134.0,166.0
134.0,166.0
2282.0,1623.0
134.0,166.0
