"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_2.csv",,,,"Date:","08 Feb 2016 22:02:55 BRST"

"net/total",
"recv","send"
0.0,0.0
625.0,332.0
134.0,166.0
134.0,166.0
134.0,166.0
565519.0,15266.0
107563731.0,1020755.0
123374136.0,1154374.0
81769377.0,767753.0
344.0,1136.0
134.0,166.0
134.0,166.0
10972.0,10285.0
134.0,166.0
1168.0,166.0
134.0,166.0
2275.0,486.0
2464.0,2832.0
